0;-320;-384 5 7 8
2;640;-64 21 10 11
3;128;-64 7 4
4;-64;128 9 10
5;-320;128 0 9
6;-320;-320 5
7;-192;-384 0
8;-128;-192 0 9
9;-128;128 4 5 8
10;640;128 4 2
11;320;-384 2 12
12;320;-512 11 13
13;448;-640 12 14
14;576;-640 13 15
15;704;-512 14 16
16;832;-640 15 17
17;960;-640 16 18
18;1088;-512 17 19
19;1088;-384 18 20
20;704;0 19 21 27
21;704;-64 20 2
23;192;-640 25 24
24;64;-640 23
25;320;-640 23
26;1216;-640 27 28
27;1216;-0 26 28 30 20
28;1536;-320 27 26
29;1664;-640 31 34
30;1664;0 34 32 27
31;1856;-640 29 33
32;1856;-0 33 36 30
33;1856;-320 31 32 34
34;1664;-320 29 30 33
35;1984;-640 36
36;1984;0 35 37 38 32
37;2112;-128 36 38
38;2240;0 37 39 41 36
39;2240;-640 38
40;2368;-640 41
41;2368;-0 40 42 38
42;2496;0 43 44 41
43;2496;-640 42 44
44;2816;-320 43 42
